COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
94,4368.21,3998.97,4335.9,4128.72,4071.79,3605.64,4448.72,4457.44,4769.23,4535.9,4553.33,4348.72,4291.79,3892.82,1654,1692,0.769,0,0,0,0,
95,4370.77,4001.03,4335.38,4135.9,4070.26,3605.13,4446.67,4461.03,4771.79,4538.46,4560,4345.64,4297.44,3893.85,1656,1692,0.777,0,0,0,0,
96,4369.74,3994.87,4335.38,4137.95,4071.79,3604.62,4444.62,4455.38,4771.28,4538.97,4557.44,4341.03,4288.72,3891.79,1655,1690,0.785,0,0,0,0,
97,4364.1,3992.31,4335.38,4133.33,4071.28,3603.59,4448.72,4455.9,4771.79,4539.49,4551.79,4342.05,4284.62,3891.79,1655,1691,0.792,0,0,0,0,
98,4370.26,3998.46,4340.51,4132.31,4066.67,3604.1,4454.87,4459.49,4768.21,4539.49,4554.36,4351.28,4293.85,3896.92,1655,1689,0.8,0,0,0,0,
99,4382.56,4001.54,4344.1,4134.87,4066.15,3606.67,4458.97,4458.97,4767.18,4538.97,4559.49,4356.92,4298.97,3898.97,1655,1690,0.808,0,0,0,0,
100,4383.59,4002.56,4344.62,4138.46,4075.38,3607.18,4459.49,4460,4777.95,4537.44,4565.64,4357.44,4295.9,3898.97,1656,1690,0.816,0,0,0,0,
101,4381.03,4005.13,4349.74,4137.95,4074.87,3607.18,4457.95,4460.51,4778.97,4539.49,4568.21,4358.97,4296.41,3902.56,1654,1691,0.824,0,0,0,0,
102,4384.62,4007.18,4353.33,4136.41,4068.21,3607.69,4458.97,4458.97,4767.69,4540,4561.54,4357.95,4297.95,3902.56,1656,1691,0.853,0,0,0,0,
103,4382.56,4003.08,4346.15,4136.92,4070.26,3606.67,4460.51,4458.97,4770.26,4528.21,4551.79,4349.74,4289.23,3894.36,1655,1692,0.856,0,0,0,0,
104,4372.82,3998.46,4340,4138.97,4076.41,3611.28,4458.46,4461.03,4782.05,4521.03,4550.77,4346.67,4281.54,3889.74,1655,1693,0.856,0,0,0,0,
105,4375.38,4006.15,4341.54,4140,4084.62,3621.03,4461.03,4460.51,4782.56,4533.85,4556.92,4352.82,4289.74,3893.33,1654,1692,0.857,0,0,0,0,
106,4383.59,4015.38,4343.59,4140.51,4089.23,3623.08,4465.64,4460.51,4775.9,4543.08,4557.44,4354.36,4299.49,3896.92,1655,1692,0.864,0,0,0,0,
107,4378.46,4010.26,4341.54,4138.46,4086.15,3618.46,4462.05,4455.9,4769.23,4532.31,4553.33,4345.13,4290.26,3889.74,1654,1691,0.871,0,0,0,0,
108,4370.77,4000.51,4339.49,4136.92,4080.51,3616.41,4454.87,4443.59,4763.59,4518.46,4551.79,4337.95,4277.44,3878.97,1654,1692,0.878,0,0,0,0,
109,4371.79,4001.54,4338.97,4132.31,4077.44,3620,4457.44,4444.1,4767.18,4522.56,4548.21,4337.95,4278.46,3878.97,1655,1690,0.886,0,0,0,0,
110,4372.31,4004.1,4335.9,4123.08,4074.87,3619.49,4462.05,4459.49,4778.46,4536.41,4546.15,4340,4286.67,3882.05,1654,1691,0.894,0,0,0,0,
